Demand,Penetration,Travel Time,Run,Waiting Time,Time Loss,Waiting Count,Average Speed,Crossing,Following,Merging,RTT
Medium,Half,152,0,6,48.67,3,15.44,0,1,0,146
Medium,Half,162,1,18,58.68,3,14.76,0,2,0,144
Medium,Half,149,2,6,45.79,2,15.31,0,4,0,143
Medium,Half,153,3,13,49.43,3,15.27,0,1,0,140
Medium,Half,189,4,21,85.56,4,11.17,1,3,0,168
Medium,Half,159,5,10,55.32,5,14.9,0,2,0,149
Medium,Half,155,6,7,53.25,3,15.11,0,4,0,148
Medium,Half,151,7,2,47.75,1,14.93,0,5,0,149
Medium,Half,198,8,42,94.9,3,9.73,2,2,0,156
Medium,Half,145,9,2,41.95,2,15.22,0,3,0,143
Medium,Half,137,10,3,33.74,1,16.56,0,2,0,134
Medium,Half,147,11,7,43.6,2,15.91,0,3,0,140
Medium,Half,147,12,7,43.14,3,15.93,2,1,0,140
Medium,Half,161,13,5,57.94,2,13.55,0,3,0,156
Medium,Half,158,14,11,54.03,3,15.26,0,4,0,147
Medium,Half,141,15,2,37.81,1,16.47,0,3,0,139
Medium,Half,149,16,4,45.74,2,15.32,0,3,0,145
Medium,Half,141,17,5,37.68,3,16.11,0,2,0,136
Medium,Half,151,18,8,47.42,4,15.03,3,1,0,143
Medium,Half,220,19,59,116.98,4,10.21,5,4,0,161
Medium,Half,449,20,304,345.53,4,0,0,4,0,145
Medium,Half,155,21,1,52.05,1,13.24,0,2,0,154
Medium,Half,153,22,5,49.67,3,15.3,1,2,0,148
Medium,Half,209,23,49,106.16,5,9.01,0,2,0,160
Medium,Half,176,24,14,72.22,3,13.06,0,4,0,162
Medium,Half,147,25,5,43.45,3,15.19,0,2,0,142
Medium,Half,157,26,4,53.43,2,13.94,0,2,0,153
Medium,Half,149,27,2,46.02,1,13.48,0,2,0,147
Medium,Half,157,28,11,53.72,3,15.04,0,3,0,146
Medium,Half,159,29,6,55.55,3,13.57,0,2,0,153
Medium,Minority,152,0,3,48.43,2,15.39,0,6,0,149
Medium,Minority,180,1,21,76.62,2,11.62,0,3,0,159
Medium,Minority,138,2,5,34.43,2,16.48,0,2,0,133
Medium,Minority,151,3,6,47.35,2,14.76,0,4,0,145
Medium,Minority,172,4,9,68.4,2,11.49,0,1,0,163
Medium,Minority,151,5,7,47.6,2,15.17,0,3,0,144
Medium,Minority,150,6,9,46.33,3,15.68,0,1,0,141
Medium,Minority,457,7,302,353.79,3,0,0,4,0,155
Medium,Minority,160,8,9,56.85,2,13.86,0,3,0,151
Medium,Minority,164,9,4,60.16,2,12.62,0,4,0,160
Medium,Minority,173,10,16,69.14,3,12.82,0,2,0,157
Medium,Minority,474,11,308,370.61,5,0,4,5,0,166
Medium,Minority,191,12,13,88.07,4,10.75,0,4,0,178
Medium,Minority,175,13,7,72.01,4,10.9,0,4,0,168
Medium,Minority,184,14,24,80.14,4,12.88,0,4,0,160
Medium,Minority,175,15,29,71.51,2,12.98,0,3,0,146
Medium,Minority,156,16,5,52.37,3,14.69,1,2,0,151
Medium,Minority,236,17,79,132.63,3,8.96,0,4,0,157
Medium,Minority,172,18,17,68.92,3,13.07,0,4,0,155
Medium,Minority,157,19,6,54.05,3,13.12,0,6,0,151
Medium,Minority,200,20,41,97.04,4,10.52,2,4,0,159
Medium,Minority,199,21,42,95.57,2,8.98,1,3,0,157
Medium,Minority,156,22,4,52.68,3,14.61,0,3,0,152
Medium,Minority,140,23,6,36.96,2,16.1,0,2,0,134
Medium,Minority,157,24,6,53.78,3,14.06,0,4,0,151
Medium,Minority,171,25,12,67.74,4,14.12,0,3,0,159
Medium,Minority,134,26,3,30.47,2,16.34,0,0,0,131
Medium,Minority,143,27,10,39.67,3,16.18,0,3,0,133
Medium,Minority,470,28,300,366.69,4,0,0,4,0,170
Medium,Minority,157,29,5,53.35,3,14.25,1,1,0,152
